Word,1st Year,Nth Year, Avg Year,Frequency,Standard Dev,Usage
,1983,2015,2002,255,11.353154524054485,1
holding,1980,2009,1988,54,6.020028300659453,1
champions,2014,2014,2014,1,0.0,1
jef,1993,1994,1993,11,0.5222329678670935,1
fuck,1995,2014,2007,90,7.673185634257638,1
finisher,2011,2011,2011,21,0.0,1
florida,2012,2012,2012,8,0.0,1
gasoline,1989,1989,1989,14,0.0,1
told,1983,2014,1996,53,10.825372014174986,1
answer,1990,2000,1995,86,3.661553870173979,1
dawg,2014,2014,2014,10,0.0,1
flaunt,2004,2005,2004,38,0.8885233166386386,1
meet,1982,2015,1996,67,12.829536816478338,1
spliff,1995,1995,1995,11,0.0,1
toll,2009,2009,2009,16,0.0,1
serenade,2000,2000,2000,7,0.0,1
3,1984,2014,2000,109,8.466880972028331,1
2,1992,2014,2003,177,7.0060506537358025,1
1,1984,2014,2001,153,6.74996974091499,1
0,2014,2014,2014,10,0.0,1
dawn,1996,2006,2000,40,5.0,1
7,1992,1993,1992,21,0.9258200997725514,1
6,1986,2014,2001,46,9.996738598597828,1
5,1989,2014,1999,89,7.674560339491402,1
4,1986,2014,2001,64,7.720710783341129,1
somebody,1994,2015,2005,106,5.710797452823013,1
9,1989,2014,2000,27,11.864981153705124,1
8,1992,1993,1992,21,0.9258200997725514,1
steady,2011,2011,2011,21,0.0,1
mugs,2000,2000,2000,29,0.0,1
rev,2006,2006,2006,18,0.0,1
truck,2012,2012,2012,8,0.0,1
horny,2006,2006,2006,18,0.0,1
micchecka,1993,1994,1993,11,0.5222329678670935,1
sweetheart,2007,2007,2007,3,0.0,1
times,1982,2011,1996,100,9.047098982546835,1
grew,2002,2003,2002,17,0.9074852129730301,1
grey,2007,2007,2007,17,0.0,1
oversized,2012,2012,2012,14,0.0,1
whack,1993,1994,1993,11,0.5222329678670935,1
fruity,2010,2010,2010,9,0.0,1
hangin,2000,2000,2000,29,0.0,1
f,1991,1991,1991,14,0.0,1
g,2012,2012,2012,8,0.0,1
heck,1993,1994,1993,11,0.5222329678670935,1
tone,1984,1984,1984,5,0.0,1
myrtle,2014,2014,2014,1,0.0,1
b,2002,2003,2002,22,0.7687061147858074,1
eightfoot,2011,2011,2011,21,0.0,1
confused,2009,2013,2012,17,1.1881770515720091,1
a,1980,2015,1998,869,9.562103952101442,1
fruits,2011,2011,2011,21,0.0,1
erupt,2006,2006,2006,18,0.0,1
n,1982,1982,1982,14,0.0,1
consultant,2011,2011,2011,21,0.0,1
suffer,1996,1996,1996,9,0.0,1
nothings,2009,2009,2009,16,0.0,1
o,1999,1999,1999,15,0.0,1
l,1991,1991,1991,14,0.0,1
cutting,2009,2009,2009,1,0.0,1
j,2000,2000,2000,7,0.0,1
k,1991,1991,1991,14,0.0,1
taking,1994,1998,1994,46,1.4218787326754636,1
h,2014,2014,2014,1,0.0,1
beginner,1991,1992,1991,18,0.816496580927726,1
i,1980,2015,1997,939,9.720261986065102,1
labor,2011,2011,2011,21,0.0,1
v,2015,2015,2015,19,0.0,1
licensing,1991,1991,1991,18,0.0,1
t,1995,1995,1995,11,0.0,1
red,1984,1984,1984,5,0.0,1
days,1980,2014,2001,105,12.02140947286489,1
yawning,2011,2012,2011,16,0.5590169943749475,1
peoples,2014,2014,2014,10,0.0,1
smiley,2013,2014,2013,22,0.674199862463242,1
q,2014,2014,2014,18,0.0,1
legend,1993,1994,1993,11,0.5222329678670935,1
p,2014,2014,2014,10,0.0,1
50s,1995,1995,1995,11,0.0,1
advice,1983,1983,1983,15,0.0,1
zone,2012,2012,2012,8,0.0,1
x,1984,1984,1984,5,0.0,1
loveyoure,1989,1989,1989,11,0.0,1
drop,1993,2005,2000,69,4.960715235948735,1
took,1980,2014,1996,82,12.48267091494171,1
enticin,2006,2006,2006,18,0.0,1
pretended,2011,2012,2011,16,0.5590169943749475,1
trapped,2000,2000,2000,7,0.0,1
basic,1991,1991,1991,14,0.0,1
priority,1989,1989,1989,11,0.0,1
jam,2012,2014,2013,30,0.7745966692414834,1
guilt,1985,1985,1985,10,0.0,1
automatic,2004,2005,2004,38,0.8885233166386386,1
belongs,1997,1998,1997,20,0.5477225575051661,1
barbed,1984,1985,1984,8,0.3535533905932738,1
resist,1985,1985,1985,8,0.0,1
double,1993,2011,1998,63,5.279490114870552,1
jaw,2011,2011,2011,21,0.0,1
much,1983,2014,1994,102,7.510776571426043,1
country,2000,2000,2000,29,0.0,1
trues,1995,2015,2007,30,9.66091783079296,1
speech,2011,2011,2011,21,0.0,1
involved,2014,2014,2014,10,0.0,1
heartbeat,1989,1989,1989,14,0.0,1
wears,2014,2014,2014,7,0.0,1
toot,1982,2014,2010,20,9.633275663033837,1
shizzle,2004,2005,2004,38,0.8885233166386386,1
raw,2000,2000,2000,29,0.0,1
grab,2004,2009,2004,39,1.1875421719907089,1
horse,2007,2007,2007,3,0.0,1
rap,2003,2003,2003,22,0.0,1
disturb,2011,2011,2011,21,0.0,1
business,2000,2000,2000,29,0.0,1
hillside,2000,2000,2000,29,0.0,1
lanolin,2009,2009,2009,1,0.0,1
ouisiana,2000,2000,2000,29,0.0,1
burgers,2003,2003,2003,22,0.0,1
dumdum,1982,1982,1982,14,0.0,1
hella,2012,2012,2012,8,0.0,1
smilin,1987,1987,1987,1,0.0,1
shadows,1989,1989,1989,11,0.0,1
hello,2004,2007,2004,41,1.1790860453923726,1
ding,2005,2005,2005,14,0.0,1
which,2004,2014,2005,39,1.5106459817082498,1
charisma,2011,2011,2011,21,0.0,1
ran,2012,2012,2012,10,0.0,1
female,2014,2014,2014,1,0.0,1
anyone,2014,2014,2014,7,0.0,1
peace,1992,1993,1992,21,0.9258200997725514,1
567,1988,1988,1988,14,0.0,1
springtime,1997,1998,1997,20,0.5477225575051661,1
sewed,2015,2015,2015,19,0.0,1
jobs,2014,2014,2014,1,0.0,1
riddle,1987,1987,1987,14,0.0,1
freak,1984,2012,2000,15,13.68454115659954,1
souvenir,2014,2014,2014,1,0.0,1
rock,1982,2014,1994,116,9.440832079050425,1
writin,1983,1983,1983,13,0.0,1
truht,1987,1988,1987,5,0.8944271909999159,1
willin,1995,1995,1995,18,0.0,1
help,1982,2014,2001,32,14.2828568570857,1
bones,1988,1996,1993,34,3.8271476093207344,1
someday,1994,1998,1996,8,2.0,1
support,2003,2014,2003,23,2.2936585546278225,1
tock,2008,2008,2008,16,0.0,1
ron,1993,1994,1993,11,0.5222329678670935,1
mens,1999,1999,1999,15,0.0,1
searching,1986,2004,1999,13,7.211102550927978,1
menu,1993,1994,1993,11,0.5222329678670935,1
lifes,2007,2007,2007,3,0.0,1
assured,1996,1996,1996,22,0.0,1
health,2003,2003,2003,6,0.0,1
henn,2000,2000,2000,29,0.0,1
scent,1997,1998,1997,20,0.5477225575051661,1
rob,1995,2015,2007,30,9.66091783079296,1
passageway,2009,2009,2009,1,0.0,1
armys,1992,1993,1992,21,0.9258200997725514,1
roc,2014,2014,2014,1,0.0,1
scene,2012,2013,2012,16,0.9682458365518543,1
western,2007,2007,2007,17,0.0,1
todd,2000,2000,2000,29,0.0,1
upon,1987,2000,1999,30,2.401388487243717,1
roam,1988,1988,1988,12,0.0,1
roar,1982,1999,1983,15,4.155317877932646,1
joy,1989,2014,1991,12,6.910137480542627,1
thought,1980,2014,1996,153,8.048464311766423,1
road,2009,2009,2009,16,0.0,1
space,1986,2014,2002,64,9.401628848236884,1
brandy,2000,2000,2000,29,0.0,1
countin,1984,2010,2003,22,10.677078252031311,1
boys,1987,2014,2002,124,7.109738890899876,1
rather,1982,1999,1986,31,3.910284207144688,1
athlete,2013,2014,2013,22,0.674199862463242,1
boyz,2015,2015,2015,19,0.0,1
keeling,1996,1996,1996,9,0.0,1
